date,volume,open,high,low,close
105/11/25,1120501.00,25.50,26.00,25.40,25.65
105/11/28,1218771.00,25.80,26.45,25.70,25.90
105/11/29,1892356.00,25.60,26.20,25.10,26.00
105/12/01,5215123.00,28.35,28.35,26.70,26.80
105/12/02,886777.00,26.60,26.60,26.05,26.05
105/12/05,781622.00,26.00,26.00,25.30,25.45
105/12/06,662665.00,25.50,25.80,25.25,25.40
105/12/07,1447856.00,25.60,25.60,24.75,24.80
105/12/08,1353000.00,24.80,25.10,24.60,24.60
105/12/09,580320.00,24.60,24.75,24.45,24.45
105/12/12,573789.00,24.50,24.95,24.45,24.50
105/12/13,1337000.00,24.50,24.60,23.85,23.85
105/12/14,780700.00,23.90,24.30,23.80,24.00
105/12/15,1417178.00,23.90,24.05,23.65,23.80
105/12/16,1133165.00,23.90,24.00,23.60,23.60
105/12/19,748406.00,23.70,23.70,23.40,23.40
105/12/20,1183570.00,23.45,23.45,23.00,23.10
105/12/21,528304.00,23.10,23.40,23.10,23.20
105/12/22,2399397.00,23.50,24.20,23.20,23.85
105/12/23,2601875.00,24.00,24.15,23.40,23.85
105/12/26,1124210.00,23.75,23.80,23.45,23.55
105/12/27,582588.00,23.60,23.75,23.50,23.50
105/12/28,404000.00,23.50,23.75,23.50,23.60
105/12/29,931644.00,23.60,23.60,23.15,23.35
105/12/30,973943.00,23.40,23.40,23.15,23.25
106/01/03,4336738.00,23.55,25.15,23.45,24.70
106/01/04,2623200.00,24.70,24.70,24.25,24.30
106/01/05,6126291.00,24.50,25.25,24.25,25.15
106/01/06,11125885.00,25.40,26.45,25.35,26.15
106/01/09,6346302.00,26.00,26.15,25.65,25.80
106/01/10,5281695.00,26.00,26.05,25.40,25.40
106/01/11,14088179.00,25.40,27.90,25.40,26.65
106/01/12,8931493.00,27.00,27.60,26.40,26.45
106/01/13,6576441.00,26.40,26.60,25.55,25.55
106/01/16,4521209.00,25.50,25.50,24.75,24.85
106/01/17,3399244.00,25.10,25.70,25.00,25.00
106/01/18,3303500.00,24.90,25.55,24.80,25.05
106/01/19,7208437.00,25.10,25.20,24.40,24.95
106/01/20,4096652.00,25.00,25.40,24.80,25.05
106/01/23,4979060.00,25.20,25.65,25.10,25.40
106/01/24,5494714.00,25.00,25.20,24.70,24.70
106/02/02,7298624.00,24.85,25.15,24.45,25.00
106/02/03,9983327.00,25.20,25.80,25.15,25.30
106/02/06,6276561.00,25.30,25.45,25.00,25.00
106/02/07,3196638.00,25.00,25.25,24.95,25.00
106/02/08,4779266.00,25.10,25.10,24.65,24.65
106/02/09,3599340.00,24.75,25.20,24.75,24.80
106/02/10,3206275.00,24.95,25.05,24.70,24.70
106/02/13,3559343.00,24.90,24.90,24.50,24.50
106/02/14,2695514.00,24.60,24.60,24.20,24.20
106/02/15,3065866.00,24.20,24.50,24.10,24.20
106/02/16,3749427.00,24.25,24.80,24.20,24.45
106/02/17,8493574.00,24.60,25.60,24.60,25.35
106/02/18,6819289.00,25.55,25.85,25.35,25.70
106/02/20,5240645.00,25.75,26.10,25.15,25.15
106/02/21,2440385.00,25.30,25.30,24.95,25.05
106/02/22,3059146.00,25.30,25.45,25.05,25.05
106/02/23,3276282.00,25.20,25.30,24.95,24.95
106/02/24,3145120.00,24.95,25.10,24.75,24.75
106/03/01,9269527.00,24.60,24.60,24.15,24.15
106/03/02,3536000.00,24.30,24.45,24.20,24.20
106/03/03,2019689.00,24.20,24.55,24.20,24.35
106/03/06,1778239.00,24.50,24.55,24.30,24.35
106/03/07,2392635.00,24.50,24.60,24.35,24.35
106/03/08,2390621.00,24.40,24.70,24.35,24.50
106/03/09,6910817.00,24.65,25.50,24.50,25.45
106/03/10,8922641.00,25.50,25.50,24.80,25.05
106/03/13,4732109.00,25.25,25.25,24.75,24.80
106/03/14,4320200.00,24.90,25.20,24.80,24.80
106/03/15,4500908.00,24.60,24.60,24.20,24.50
106/03/16,3888022.00,24.65,24.70,24.45,24.60
106/03/17,39396492.00,24.70,27.05,24.65,27.05
106/03/20,27481655.00,27.10,27.10,26.25,26.25
