date,volume,open,high,low,close
105/11/07,2827195,64.1,65,64.1,64.8
105/11/08,6652171,65,65.5,64.8,65.5
105/11/09,10485258,66.3,67,63.5,64.4
105/11/10,8661327,65.5,66.5,65.4,66
105/11/11,9445726,64.5,65.6,64.5,64.7
105/11/14,8006270,64.3,64.6,63.6,64
105/11/15,4409887,64,64.8,63.9,64.5
105/11/16,4469193,65,65.3,64.8,65.2
105/11/17,5485172,65.2,66,64.1,65.9
105/11/18,4833676,65.1,65.5,64.7,65.4
105/11/21,2250779,64.8,65.4,64.5,65.1
105/11/22,5061226,65.2,66.1,64.8,66.1
105/11/23,3211572,66.5,66.5,65.7,66.5
105/11/24,2961653,66.5,66.5,66,66.5
105/11/25,2453803,66.4,66.7,66.1,66.3
105/11/28,5011856,66.5,67,66.2,67
105/11/29,3779897,67.4,67.4,66.3,66.7
105/11/30,8855198,67.2,67.3,66.5,67.1
105/12/01,13111333,67.3,69.2,67.3,68.5
105/12/02,6066440,69.1,69.1,67.4,68.8
105/12/05,6204819,69,69.4,68,68.1
105/12/06,9543017,68.5,69.3,68.5,69.1
105/12/07,5368060,69.7,69.8,68.8,69.1
105/12/08,13574793,69.5,70.7,69.4,70.6
105/12/09,8707753,70.7,71.8,70.5,71.7
105/12/12,16763184,72.5,74.5,72.1,72.5
105/12/13,12817745,71.6,72.5,71.4,72.4
105/12/14,10036331,72.1,72.2,71.7,71.8
105/12/15,15617616,71.2,71.3,69.9,69.9
105/12/16,16428987,70.5,72.1,70.4,71.9
105/12/19,9093313,71.9,72.7,71.3,72.5
105/12/20,6301278,72.5,72.7,72.3,72.5
105/12/21,5150622,72.6,73,72.5,72.7
105/12/22,5551879,72.7,72.7,71.2,71.2
105/12/23,8822035,70.5,71.2,70.2,70.4
105/12/26,3864179,70.9,71.3,70.6,70.6
105/12/27,3616755,71,71,70.1,70.1
105/12/28,5587111,70,72,70,71
105/12/29,6798731,70.8,71.4,70.7,71
105/12/30,5557341,71.9,71.9,71.2,71.2
106/01/03,4513029,71.6,71.6,70.8,71.2
106/01/04,7402578,71.5,71.8,70.7,71.7
106/01/05,14448119,71.7,73.6,71.6,73.4
106/01/06,8533122,73.3,73.6,73.1,73.4
106/01/09,8876775,73.5,74.5,73.5,73.8
106/01/10,9636403,74.3,74.4,72.9,73.1
